macro,name,source_url
SWITCH_PROXY_MEDIA_VARIABLE,proxy_media,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L191
SWITCH_ENDPOINT_DISPOSITION_VARIABLE,endpoint_disposition,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L192
SWITCH_HOLD_MUSIC_VARIABLE,hold_music,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L193
SWITCH_TEMP_HOLD_MUSIC_VARIABLE,temp_hold_music,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L194
SWITCH_EXPORT_VARS_VARIABLE,export_vars,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L195
SWITCH_BRIDGE_EXPORT_VARS_VARIABLE,bridge_export_vars,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L196
SWITCH_R_SDP_VARIABLE,switch_r_sdp,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L197
SWITCH_L_SDP_VARIABLE,switch_l_sdp,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L198
SWITCH_B_SDP_VARIABLE,switch_m_sdp,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L199
SWITCH_BRIDGE_VARIABLE,bridge_to,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L200
SWITCH_LAST_BRIDGE_VARIABLE,last_bridge_to,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L201
SWITCH_SIGNAL_BRIDGE_VARIABLE,signal_bridge_to,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L202
SWITCH_SIGNAL_BOND_VARIABLE,signal_bond,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L203
SWITCH_ORIGINATE_SIGNAL_BOND_VARIABLE,originate_signal_bond,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L204
SWITCH_ORIGINATOR_VARIABLE,originator,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L205
SWITCH_ORIGINATOR_CODEC_VARIABLE,originator_codec,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L206
SWITCH_ORIGINATOR_VIDEO_CODEC_VARIABLE,originator_video_codec,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L207
SWITCH_LOCAL_MEDIA_IP_VARIABLE,local_media_ip,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L208
SWITCH_LOCAL_MEDIA_PORT_VARIABLE,local_media_port,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L209
SWITCH_ADVERTISED_MEDIA_IP_VARIABLE,advertised_media_ip,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L210
SWITCH_REMOTE_MEDIA_IP_VARIABLE,remote_media_ip,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L211
SWITCH_REMOTE_MEDIA_PORT_VARIABLE,remote_media_port,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L212
SWITCH_REMOTE_VIDEO_IP_VARIABLE,remote_video_ip,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L213
SWITCH_REMOTE_VIDEO_PORT_VARIABLE,remote_video_port,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L214
SWITCH_LOCAL_VIDEO_IP_VARIABLE,local_video_ip,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L215
SWITCH_LOCAL_VIDEO_PORT_VARIABLE,local_video_port,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L216
SWITCH_LOCAL_TEXT_IP_VARIABLE,local_text_ip,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L217
SWITCH_LOCAL_TEXT_PORT_VARIABLE,local_text_port,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L218
SWITCH_HANGUP_AFTER_BRIDGE_VARIABLE,hangup_after_bridge,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L219
